#,Time,Time,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
1,FC Bayern München,,Robert Lewandowski,15,11,12,52,28.85,8.35,8.35
2,Borussia Dortmund,,Erling Haaland,10,2,6,21,47.62,7.48,7.48
3,FC Bayern München,,Serge Gnabry,9,0,12,27,33.33,7.74,7.74
4,Tottenham Hotspur,,Harry Kane,6,4,8,23,26.09,7.96,7.96
5,Manchester City,,Gabriel Jesus,6,6,16,25,24,7.56,7.56
6,Manchester City,,Raheem Sterling,6,6,18,24,25,7.52,7.52
7,Napoli,,Dries Mertens,6,2,2,21,28.57,7.45,7.45
8,Olympique Lyonnais,,Memphis Depay,6,2,14,21,28.57,7.28,7.28
9,Barcelona,,Luis Suárez,5,2,8,22,22.73,7.60,7.60
10,Atalanta,,Josip Iličić,5,1,21,15,33.33,7.54,7.54
11,Real Madrid,,Karim Benzema,5,7,10,31,16.13,7.54,7.54
12,Tottenham Hotspur,,Heung-min Son,5,4,13,18,27.78,7.45,7.45
13,Paris Saint-Germain,,Kylian Mbappé,5,10,15,30,16.67,7.23,7.23
14,Inter,,Lautaro Martínez,5,2,7,25,20,7.17,7.17
15,Paris Saint-Germain,,Mauro Icardi,5,2,1,12,41.67,7.07,7.07
16,Real Madrid,,Rodrygo,4,1,9,8,50,7.68,7.68
17,Borussia Dortmund,,Achraf Hakimi,4,0,17,16,25,7.55,7.55
18,RB Leipzig,,Emil Forsberg,4,0,12,20,20,7.40,7.40
19,Juventus,,Cristiano Ronaldo,4,2,14,40,10,7.33,7.33
20,Liverpool,,Mohamed Salah,4,7,24,36,11.11,7.24,7.24
21,RB Leipzig,,Marcel Sabitzer,4,0,5,22,18.18,7.16,7.16
22,FC Bayern München,,Thomas Müller,4,3,5,20,20,7.14,7.14
23,RB Leipzig,,Timo Werner,4,3,7,29,13.79,7.14,7.14
24,AFC Ajax,,Quincy Promes,4,1,6,14,28.57,7.12,7.12
25,GNK Dinamo Zagreb,,Mislav Oršić,4,1,4,17,23.53,7.03,7.03
26,Barcelona,,Lionel Messi,3,4,57,31,9.68,8.01,8.01
27,Paris Saint-Germain,,Ángel Di María,3,4,15,20,15,7.73,7.73
28,Paris Saint-Germain,,Neymar,3,4,43,24,12.5,7.71,7.71
29,Red Bull Salzburg,,Hee-Chan Hwang,3,0,8,14,21.43,7.70,7.70
30,Liverpool,,Alex Oxlade-Chamberlain,3,0,9,13,23.08,7.56,7.56
31,Benfica,,Pizzi,3,0,4,10,30,7.53,7.53
32,Atlético Madrid,,João Félix,3,0,7,19,15.79,7.42,7.42
33,Juventus,,Paulo Dybala,3,1,12,13,23.08,7.38,7.38
34,FC Bayern München,,Philippe Coutinho,3,1,16,34,8.82,7.32,7.32
35,FC Bayern München,,Corentin Tolisso,3,1,1,14,21.43,7.18,7.18
36,FC Bayern München,,Ivan Perišić,3,3,2,17,17.65,7.17,7.17
37,Atalanta,,Mario Pašalić,3,5,10,16,18.75,7.03,7.03
38,RB Leipzig,,Dani Olmo,3,0,19,15,20,7.03,7.03
39,FC Bayern München,,Kingsley Coman,3,3,23,18,16.67,6.96,6.96
40,KRC Genk,,Mbwana Ally Samatta,3,0,4,11,27.27,6.90,6.90
41,Chelsea,,Tammy Abraham,3,3,3,21,14.29,6.89,6.89
42,Napoli,,Arkadiusz Milik,3,5,2,12,25,6.88,6.88
43,Atlético Madrid,,Álvaro Morata,3,5,5,13,23.08,6.88,6.88
44,Olympiacos FC,,Youssef El Arabi,3,1,2,5,60,6.70,6.70
45,Manchester City,,Kevin De Bruyne,2,0,14,16,12.5,7.81,7.81
46,FC Bayern München,,Joshua Kimmich,2,0,7,6,33.33,7.55,7.55
47,AFC Ajax,,Hakim Ziyech,2,1,13,19,10.53,7.50,7.50
48,Manchester City,,Phil Foden,2,0,8,7,28.57,7.42,7.42
49,SK Slavia Praha,,Tomáš Souček,2,1,3,14,14.29,7.37,7.37
50,Manchester City,,İlkay Gündoğan,2,0,7,15,13.33,7.32,7.32
51,AFC Ajax,,Donny van de Beek,2,0,4,8,25,7.32,7.32
