#,Time,Time,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
1,Paris Saint-Germain,,Kylian Mbappé,8,8.16,10,36,51,15.69,7.69,7.69
2,FC Bayern München,,Harry Kane,8,5.9,3,4,36,22.22,7.62,7.62
3,Atlético Madrid,,Antoine Griezmann,6,4.24,3,5,22,27.27,7.84,7.84
4,Real Madrid,,Vinícius Júnior,6,4.49,4,37,30,20,7.66,7.66
5,Manchester City,,Erling Haaland,6,6.99,12,3,43,13.95,7.21,7.21
6,Manchester City,,Julián Álvarez,5,1.74,1,6,15,33.33,8.07,8.07
7,Manchester City,,Phil Foden,5,3.26,2,11,33,15.15,8.04,8.04
8,FC Porto,,Wenderson Galeno,5,2.87,2,9,16,31.25,7.59,7.59
9,Real Madrid,,Joselu,5,5.44,3,0,30,16.67,7.23,7.23
10,Manchester United,,Rasmus Højlund,5,3.31,1,5,11,45.45,7.15,7.15
11,Real Madrid,,Rodrygo,5,5.71,8,18,38,13.16,7.13,7.13
12,Atlético Madrid,,Álvaro Morata,5,4.6,7,3,25,20,6.91,6.91
13,Real Madrid,,Jude Bellingham,4,3.02,2,19,23,17.39,7.74,7.74
14,Arsenal,,Bukayo Saka,4,1.57,0,10,13,30.77,7.71,7.71
15,FC Porto,,Evanilson,4,1.75,0,5,14,28.57,7.41,7.41
16,Arsenal,,Gabriel Jesus,4,2.16,4,11,15,26.67,7.30,7.30
17,Shakhtar Donetsk,,Danylo Sikan,4,3.03,1,6,11,36.36,7.18,7.18
18,Arsenal,,Leandro Trossard,4,1.55,1,4,9,44.44,7.07,7.07
19,RB Leipzig,,Loïs Openda,4,3.52,3,10,29,13.79,7.06,7.06
20,Lazio,,Ciro Immobile,4,3.06,2,6,10,40,6.98,6.98
21,Barcelona,,Raphinha,3,2.53,0,8,24,12.5,7.74,7.74
22,Atlético Madrid,,Samuel Lino,3,2.04,3,9,18,16.67,7.54,7.54
