#,Time,Time,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
1,Manchester City,,Erling Haaland,12,10.66,10,12,41,29.27,7.41,7.41
2,Liverpool,,Mohamed Salah,8,4,2,9,23,34.78,7.70,7.70
3,Paris Saint-Germain,,Kylian Mbappé,7,3.61,4,17,26,26.92,7.53,7.53
4,Real Madrid,,Vinícius Júnior,7,6.52,13,47,38,18.42,7.11,7.11
5,Benfica,,João Mário,6,4.65,1,14,12,50,7.23,7.23
6,Barcelona,,Robert Lewandowski,5,3.15,2,3,24,20.83,7.98,7.98
7,FC Porto,,Mehdi Taremi,5,5.98,3,3,24,20.83,7.66,7.66
8,Napoli,,Victor Osimhen,5,4.93,4,5,16,31.25,7.35,7.35
9,Real Madrid,,Rodrygo,5,4.69,0,14,25,20,7.26,7.26
10,Benfica,,Rafa Silva,5,4.28,7,21,28,17.86,7.01,7.01
11,Milan,,Olivier Giroud,5,5.72,6,0,26,19.23,6.99,6.99
12,Paris Saint-Germain,,Lionel Messi,4,2.64,1,14,23,17.39,7.93,7.93
13,FC Bayern München,,Leroy Sané,4,2.52,1,10,18,22.22,7.45,7.45
14,Napoli,,Giacomo Raspadori,4,0.97,0,0,10,40,7.40,7.40
15,Napoli,,Piotr Zieliński,4,4.02,3,8,17,23.53,7.40,7.40
16,Borussia Dortmund,,Jude Bellingham,4,1.34,1,11,11,36.36,7.23,7.23
17,FC Bayern München,,Eric Maxim Choupo-Moting,4,2.58,0,5,15,26.67,7.23,7.23
18,AFC Ajax,,Mohammed Kudus,4,1.77,1,11,8,50,7.22,7.22
19,Real Madrid,,Karim Benzema,4,5.13,4,7,35,11.43,7.16,7.16
20,Napoli,,Giovanni Simeone,4,2.88,3,1,15,26.67,7.07,7.07
21,Inter,,Edin Džeko,4,3.22,5,11,23,17.39,7.05,7.05
22,Liverpool,,Darwin Núñez,4,5,3,3,22,18.18,6.93,6.93
23,Manchester City,,Riyad Mahrez,3,3.48,2,12,12,25,7.20,7.20
24,Barcelona,,Ferran Torres,3,1.26,0,4,7,42.86,7.18,7.18
25,Manchester City,,Bernardo Silva,3,1.11,2,26,8,37.5,7.17,7.17
26,FC Bayern München,,Sadio Mané,3,1.92,4,12,15,20,7.17,7.17
27,Manchester City,,Julián Álvarez,3,2.37,0,3,14,21.43,7.07,7.07
28,RB Leipzig,,André Silva,3,2.14,2,6,15,20,7.06,7.06
29,RB Leipzig,,Christopher Nkunku,3,1.62,3,8,15,20,7.04,7.04
30,Eintracht Frankfurt,,Daichi Kamada,3,3.01,1,6,13,23.08,7.03,7.03
31,Benfica,,Gonçalo Ramos,3,3.86,5,5,24,12.5,7.01,7.01
32,Inter,,Lautaro Martínez,3,2.91,4,10,27,11.11,7.00,7.00
33,Inter,,Nicolò Barella,3,1.37,0,8,20,15,6.98,6.98
34,Inter,,Romelu Lukaku,3,2.7,3,5,12,25,6.96,6.96
35,Real Madrid,,Marco Asensio,3,0.94,0,1,12,25,6.95,6.95
36,Benfica,,David Neres,3,1.89,1,11,11,27.27,6.87,6.87
