#,Time,Time,Nome,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol,Notas Sofascore,Nota Sofascore
1,Atlético Madrid,,Jan Oblak,37,6,1,25,1,7.08,7.08
2,FC Bayern München,,Manuel Neuer,36,2,1,22,4,6.98,6.98
3,Real Madrid,,Keylor Navas,33,1,0,18,9,6.73,6.73
4,Legia Warszawa,,Arkadiusz Malarz,31,1,0,21,2,7.10,7.10
5,Club Brugge KV,,Ludovic Butelle,31,0,1,19,7,6.77,6.77
6,CSKA Moscow,,Igor Akinfeev,29,0,0,18,1,6.72,6.72
7,FC Rostov,,Soslan Dzhanaev,28,1,1,17,3,6.90,6.90
8,AS Monaco,,Danijel Subašić,28,1,0,17,8,6.62,6.62
9,Barcelona,,Marc-André ter Stegen,27,4,1,18,8,6.88,6.88
10,GNK Dinamo Zagreb,,Dominik Livaković,25,0,0,15,3,7.23,7.23
11,Benfica,,Ederson,24,3,2,16,13,7.07,7.07
12,Leicester City,,Kasper Schmeichel,23,5,2,13,10,7.23,7.23
13,Borussia M'gladbach,,Yann Sommer,23,1,0,13,6,6.82,6.82
14,Juventus,,Gianluigi Buffon,21,8,1,13,6,6.95,6.95
15,Arsenal,,David Ospina,21,2,0,15,17,6.76,6.76
16,Beşiktaş,,Fabri,21,0,1,11,9,6.76,6.76
17,Tottenham Hotspur,,Hugo Lloris,20,2,1,11,5,7.22,7.22
18,Ludogorets,,Vladislav Stoyanov,19,1,0,10,1,6.70,6.70
19,Sevilla,,Sergio Rico,18,5,0,9,2,6.95,6.95
20,PSV Eindhoven,,Jeroen Zoet,18,1,0,12,6,6.90,6.90
21,FC Porto,,Iker Casillas,18,3,0,9,2,6.83,6.83
22,Celtic,,Craig Gordon,18,0,0,11,2,6.74,6.74
23,Basel,,Tomáš Vaclík,18,1,0,15,3,6.72,6.72
24,Borussia Dortmund,,Roman Bürki,18,3,0,13,2,6.70,6.70
25,Bayer 04 Leverkusen,,Bernd Leno,16,3,0,10,5,6.80,6.80
26,Dynamo Kyiv,,Artur Rudko,14,2,0,4,3,6.86,6.86
27,Olympique Lyonnais,,Anthony Lopes,13,3,0,7,8,7.17,7.17
28,FC København,,Robin Olsen,13,4,0,7,5,7.05,7.05
29,Manchester City,,Willy Caballero,12,0,2,10,10,6.62,6.62
30,Napoli,,Pepe Reina,11,1,0,7,5,6.31,6.31
31,Borussia Dortmund,,Roman Weidenfeller,9,0,0,6,2,6.60,6.60
32,Sporting,,Rui Patrício,9,1,0,5,2,6.58,6.58
33,GNK Dinamo Zagreb,,Adrian Šemper,9,0,0,6,0,6.35,6.35
34,PSV Eindhoven,,Remko Pasveer,7,0,0,3,0,7.30,7.30
35,Paris Saint-Germain,,Alphonse Aréola,7,1,1,5,3,6.53,6.53
36,Manchester City,,Claudio Bravo,7,1,0,5,4,6.48,6.48
37,Paris Saint-Germain,,Kevin Trapp,5,1,0,4,1,6.50,6.50
38,Beşiktaş,,Tolga Zengin,4,0,0,2,1,7.30,7.30
39,AS Monaco,,Morgan De Sanctis,4,0,0,3,0,6.40,6.40
40,Real Madrid,,Kiko Casilla,3,0,0,1,1,6.90,6.90
41,Juventus,,Neto,2,1,0,0,0,7.00,7.00
42,Leicester City,,Ron-Robert Zieler,2,0,0,1,0,6.70,6.70
43,Atlético Madrid,,Miguel Ángel Moyà,2,0,0,0,0,6.40,6.40
44,Leicester City,,Ben Hamer,2,0,0,1,2,5.60,5.60
45,Benfica,,Júlio César,2,0,0,2,2,5.20,5.20
46,Celtic,,Dorus De Vries,2,0,0,1,0,5.20,5.20
47,Legia Warszawa,,Radosław Cierzniak,2,0,0,2,0,4.50,4.50
48,FC Bayern München,,Sven Ulreich,1,0,0,1,1,6.10,6.10
49,Ludogorets,,Milan Borjan,1,0,0,1,0,5.80,5.80
50,Bayer 04 Leverkusen,,Ramazan Özcan,0,1,0,0,0,6.90,6.90
51,Barcelona,,Jasper Cillessen,0,1,0,0,1,6.80,6.80
52,Dynamo Kyiv,,Oleksandr Shovkovskyi,0,0,0,0,0,6.30,6.30
