#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
1,Paris Saint-Germain,,Ángel Di María,11,6,254,82.2,20,7.73,7.73
2,Barcelona,,Lionel Messi,7,3,307,81.87,17,8.01,8.01
3,Paris Saint-Germain,,Kylian Mbappé,7,5,208,85.25,13,7.23,7.23
4,FC Bayern München,,Robert Lewandowski,6,5,195,78.63,21,8.35,8.35
5,Manchester City,,Phil Foden,6,2,135,88.24,7,7.42,7.42
6,Atalanta,,Papu Gómez,6,2,294,85.47,18,7.37,7.37
7,Valencia,,Ferran Torres,6,2,137,80.59,10,7.28,7.28
8,Manchester City,,Kevin De Bruyne,5,2,226,77.13,28,7.81,7.81
9,Manchester City,,Riyad Mahrez,5,4,280,88.05,14,7.46,7.46
10,FC Bayern München,,Ivan Perišić,5,3,133,80.12,13,7.17,7.17
11,Tottenham Hotspur,,Christian Eriksen,5,1,137,77.84,11,7.16,7.16
12,FC Bayern München,,Thomas Müller,5,2,243,80.46,25,7.14,7.14
13,Olympique Lyonnais,,Houssem Aouar,5,4,242,80.4,11,7.06,7.06
14,Paris Saint-Germain,,Neymar,4,4,243,74.54,18,7.71,7.71
15,Red Bull Salzburg,,Hee-Chan Hwang,4,3,126,75.45,14,7.70,7.70
16,Real Madrid,,Rodrygo,4,3,111,86.72,7,7.68,7.68
17,FC Bayern München,,Thiago Alcântara,4,2,757,90.99,15,7.60,7.60
18,Manchester City,,Gabriel Jesus,4,3,167,86.53,16,7.56,7.56
19,FC Bayern München,,Joshua Kimmich,4,4,656,88.05,28,7.55,7.55
20,Real Madrid,,Karim Benzema,4,2,253,87.24,17,7.54,7.54
21,Manchester City,,Raheem Sterling,4,3,172,80,16,7.52,7.52
22,AFC Ajax,,Hakim Ziyech,4,4,219,76.04,15,7.50,7.50
23,Real Madrid,,Marcelo,4,3,139,86.34,8,7.50,7.50
24,FC Bayern München,,Alphonso Davies,4,3,403,89.16,9,7.35,7.35
25,Valencia,,Dani Parejo,4,3,488,87.77,18,7.30,7.30
26,Red Bull Salzburg,,Zlatko Junuzović,4,3,224,75.42,11,7.12,7.12
27,SK Slavia Praha,,Nicolae Stanciu,4,0,204,78.46,10,7.08,7.08
28,Liverpool,,Takumi Minamino,4,3,157,77.34,12,6.90,6.90
29,Tottenham Hotspur,,Harry Kane,3,0,74,75.51,5,7.96,7.96
30,Borussia Dortmund,,Achraf Hakimi,3,0,383,84.92,10,7.55,7.55
31,Atalanta,,Josip Iličić,3,0,192,84.21,11,7.54,7.54
32,RB Leipzig,,Emil Forsberg,3,1,229,83.58,13,7.40,7.40
33,Juventus,,Paulo Dybala,3,2,172,86.43,9,7.38,7.38
34,Liverpool,,Trent Alexander-Arnold,3,1,461,79.35,17,7.33,7.33
35,Manchester City,,İlkay Gündoğan,3,1,660,93.62,13,7.32,7.32
36,Borussia Dortmund,,Jadon Sancho,3,2,339,85.18,15,7.31,7.31
37,Liverpool,,Roberto Firmino,3,3,229,78.69,14,7.27,7.27
38,Borussia Dortmund,,Julian Brandt,3,3,223,78.52,12,7.21,7.21
39,Paris Saint-Germain,,Marco Verratti,3,0,559,92.86,11,7.18,7.18
40,Benfica,,Alejandro Grimaldo,3,0,248,79.23,14,7.17,7.17
41,Valencia,,José Luis Gayà,3,0,157,75.48,7,7.17,7.17
42,Napoli,,José Callejón,3,1,205,85.42,19,7.16,7.16
43,RB Leipzig,,Marcel Sabitzer,3,3,439,83.14,11,7.16,7.16
44,Valencia,,Rodrigo,3,2,167,79.52,9,7.15,7.15
45,Paris Saint-Germain,,Juan Bernat,3,2,405,89.6,10,7.15,7.15
46,Zenit St. Petersburg,,Artem Dzyuba,3,1,156,70.59,13,7.15,7.15
47,Inter,,Stefano Sensi,3,0,94,80.34,7,7.13,7.13
48,Lille,,Benjamin André,3,2,150,81.08,9,7.10,7.10
49,Valencia,,Kévin Gameiro,3,1,67,77.01,7,6.98,6.98
50,Inter,,Romelu Lukaku,3,2,46,56.79,8,6.98,6.98
51,Paris Saint-Germain,,Pablo Sarabia,3,2,119,81.51,8,6.96,6.96
52,Lille,,Jonathan Bamba,3,2,89,80.91,10,6.90,6.90
53,GNK Dinamo Zagreb,,Kévin Théophile-Catherine,3,2,92,62.59,4,6.82,6.82
54,Bayer 04 Leverkusen,,Karim Bellarabi,3,1,148,75.9,10,6.78,6.78
55,Real Madrid,,Toni Kroos,2,1,469,93.8,24,7.97,7.97
56,FC Bayern München,,Serge Gnabry,2,2,309,85.12,12,7.74,7.74
57,Benfica,,Pizzi,2,2,227,81.65,11,7.53,7.53
58,Tottenham Hotspur,,Heung-min Son,2,1,104,81.89,5,7.45,7.45
59,Juventus,,Alex Sandro,2,1,390,87.64,9,7.45,7.45
60,Chelsea,,Willian,2,1,184,78.3,19,7.41,7.41
61,Liverpool,,Naby Keïta,2,0,212,91.38,4,7.33,7.33
62,AFC Ajax,,Donny van de Beek,2,1,123,78.85,8,7.32,7.32
63,Napoli,,Lorenzo Insigne,2,1,128,83.66,9,7.30,7.30
64,Chelsea,,Christian Pulišić,2,1,72,75.79,8,7.28,7.28
65,Liverpool,,Sadio Mané,2,1,240,81.08,15,7.25,7.25
66,Liverpool,,Mohamed Salah,2,2,223,76.9,14,7.24,7.24
67,Atlético Madrid,,Kieran Trippier,2,1,239,76.11,12,7.22,7.22
68,Liverpool,,Dejan Lovren,2,0,200,92.17,3,7.20,7.20
69,Tottenham Hotspur,,Tanguy Ndombélé,2,2,204,87.55,8,7.20,7.20
70,Benfica,,Adel Taarabt,2,1,206,86.55,4,7.18,7.18
71,Inter,,Lautaro Martínez,2,0,58,66.67,7,7.17,7.17
72,FC Bayern München,,Leon Goretzka,2,1,252,88.11,3,7.17,7.17
73,Juventus,,Miralem Pjanić,2,0,521,89.67,8,7.16,7.16
74,RB Leipzig,,Timo Werner,2,2,192,78.69,11,7.14,7.14
75,Shakhtar Donetsk,,Taison,2,0,268,89.33,8,7.12,7.12
76,Atlético Madrid,,Renan Lodi,2,1,230,76.41,12,7.11,7.11
77,Zenit St. Petersburg,,Magomed Ozdoev,2,2,184,76.99,6,7.10,7.10
78,Chelsea,,Mateo Kovačić,2,0,352,90.72,12,7.09,7.09
79,Inter,,Antonio Candreva,2,1,93,67.88,6,7.08,7.08
