#,Time,Time,Nome,Gols,Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
1,Real Madrid,,Karim Benzema,15,12,3,2,82.75,
2,RB Leipzig,,Christopher Nkunku,7,4,11,1,86.22,
3,FC Bayern München,,Robert Lewandowski,13,9,4,3,80.73,
4,Paris Saint-Germain,,Lionel Messi,5,23,3,0,87.36,
5,AFC Ajax,,Sébastien Haller,11,8,3,2,79.31,
6,FC Bayern München,,Kingsley Coman,2,37,11,3,80.83,
7,Dynamo Kyiv,,Denys Boyko,0,0,0,0,55.17,
8,Manchester City,,Riyad Mahrez,7,17,19,2,86.31,
9,FC Bayern München,,Joshua Kimmich,0,3,19,0,90.23,
10,FC Bayern München,,Leroy Sané,6,24,14,6,86.75,
11,Zenit St. Petersburg,,Douglas Santos,0,3,16,2,80.91,
12,Juventus,,Paulo Dybala,3,10,3,1,88,
13,RB Leipzig,,Josep Martínez,0,0,0,0,44.83,
14,Manchester United,,Cristiano Ronaldo,6,9,3,0,85.78,
15,Juventus,,Federico Chiesa,2,10,3,0,84.88,
16,Chelsea,,Timo Werner,4,4,1,2,78.08,
17,Beşiktaş,,Miralem Pjanić,0,3,2,2,85.02,
18,Manchester City,,James McAtee,0,4,1,0,80.77,
19,FC Bayern München,,Sven Ulreich,0,0,0,0,96,
20,Liverpool,,Neco Williams,0,5,6,0,76.47,
21,Manchester City,,João Cancelo,2,19,13,3,86.38,
22,Real Madrid,,Thibaut Courtois,0,1,0,0,71.09,
23,Liverpool,,Trent Alexander-Arnold,0,5,17,3,82.34,
24,Manchester United,,Bruno Fernandes,0,5,12,6,77.43,
25,Sporting,,Pedro Gonçalves,4,4,6,1,66.25,
26,Liverpool,,Konstantinos Tsimikas,0,5,7,2,80,
27,AFC Ajax,,Antony,2,10,11,4,81.21,
28,Sheriff Tiraspol,,Giorgos Athanasiadis,0,0,0,0,64.1,
29,Paris Saint-Germain,,Kylian Mbappé,6,23,1,4,83.08,
30,AFC Ajax,,Steven Berghuis,3,0,5,1,81.61,
31,Sheriff Tiraspol,,Sebastien Thill,2,1,9,1,83.25,
32,Borussia Dortmund,,Jude Bellingham,1,19,12,3,85.77,
33,Sporting,,Marcus Edwards,0,1,1,0,85.71,
34,FC Bayern München,,Leon Goretzka,0,2,12,0,89.74,
35,Chelsea,,Jorginho,2,3,22,2,91.06,
36,Sporting,,Sebastián Coates,2,2,11,0,85.47,
37,Real Madrid,,Toni Kroos,2,5,23,0,93.86,
38,Inter,,Marcelo Brozović,1,4,19,1,89.6,
39,Chelsea,,Reece James,1,7,14,0,90.17,
40,Manchester United,,Eric Bailly,0,1,3,0,87.39,
41,FC Bayern München,,Alphonso Davies,0,27,17,2,85.34,
42,AFC Ajax,,Lisandro Martínez,0,2,13,1,91.85,
43,Liverpool,,Mohamed Salah,8,26,7,2,82.46,
44,Juventus,,Mattia Perin,0,0,0,0,70.59,
45,Villarreal,,Mario Gaspar,0,0,2,0,86.11,
46,Inter,,Hakan Çalhanoğlu,0,3,5,0,87.24,
47,FC Bayern München,,Thomas Müller,4,7,7,4,77.25,
48,Paris Saint-Germain,,Gianluigi Donnarumma,0,0,0,0,80.33,
49,Paris Saint-Germain,,Marco Verratti,0,14,13,0,89.64,
50,Villarreal,,Dani Parejo,1,2,20,3,83.97,
51,Juventus,,Leonardo Bonucci,0,1,8,0,88.28,
52,Real Madrid,,Rodrygo,5,10,8,2,85.17,
53,Manchester City,,Kevin De Bruyne,2,11,7,3,85.53,
54,Real Madrid,,Vinícius Júnior,4,32,21,6,83.53,
55,Zenit St. Petersburg,,Claudinho,2,9,10,0,88.19,
56,Milan,,Junior Messias,1,3,4,0,75,
57,Inter,,Milan Škriniar,1,3,15,0,91.54,
58,AFC Ajax,,Dušan Tadić,2,9,8,1,77.07,
59,Club Brugge KV,,Hans Vanaken,3,16,6,0,81.27,
60,Liverpool,,Roberto Firmino,5,4,13,0,82.76,
61,Liverpool,,Andrew Robertson,0,9,9,3,83.9,
62,Atlético Madrid,,Reinildo Mandava,0,5,34,0,78.74,
63,Borussia Dortmund,,Marco Reus,3,8,12,1,83.41,
64,Manchester City,,Jack Grealish,1,9,9,1,86,
65,Manchester United,,Alex Telles,1,4,5,0,87.08,
66,Atalanta,,Ruslan Malinovskyi,1,5,9,0,80.16,
67,Manchester City,,CJ Egan-Riley,0,3,0,0,96.67,
68,Paris Saint-Germain,,Abdou Diallo,0,1,6,0,85,
69,Sevilla,,Jules Koundé,0,5,4,0,87.75,
70,FC Porto,,Pepe,0,0,4,0,83.68,
71,Liverpool,,Virgil van Dijk,0,4,5,0,90.9,
72,Inter,,Ivan Perišić,0,6,13,1,75.86,
73,Inter,,Arturo Vidal,1,5,20,2,84.11,
74,Borussia Dortmund,,Donyell Malen,3,15,1,0,76.92,
75,Inter,,Nicolò Barella,0,5,15,0,84.77,
76,Chelsea,,Thiago Silva,0,0,7,1,93,
77,Liverpool,,Ibrahima Konaté,2,2,16,0,86.78,
78,Atalanta,,Josip Iličić,1,7,0,1,78.57,
79,Liverpool,,Curtis Jones,0,7,2,2,89.86,
80,Borussia Dortmund,,Mahmoud Dahoud,0,7,7,2,79.87,
81,Shakhtar Donetsk,,Alan Patrick,0,10,3,1,84.03,
82,Atalanta,,Rafael Tolói,0,0,14,0,81.82,
83,Manchester City,,Rodri,0,6,26,0,93.31,
84,Manchester City,,Gabriel Jesus,4,12,5,1,87.3,
85,Juventus,,Federico Bernardeschi,0,6,2,3,83.2,
86,Atlético Madrid,,Antoine Griezmann,4,3,15,2,76.47,
87,Zenit St. Petersburg,,Yaroslav Rakitskyi,1,4,4,2,82.18,
88,Zenit St. Petersburg,,Malcom,0,11,3,1,82.66,
89,Chelsea,,Ruben Loftus-Cheek,0,17,9,1,90.04,
90,Atalanta,,José Luis Palomino,1,0,16,1,81.57,
91,RB Leipzig,,Emil Forsberg,2,2,3,2,80.67,
92,Paris Saint-Germain,,Keylor Navas,0,0,0,0,81.61,
93,Barcelona,,Memphis Depay,0,15,3,0,83.41,
94,Inter,,Edin Džeko,3,5,0,1,71.52,
95,Chelsea,,Mason Mount,1,5,9,2,84.86,
96,Manchester United,,Mason Greenwood,1,3,5,1,84.89,
97,AFC Ajax,,Daley Blind,1,6,12,1,83.1,
98,FC Bayern München,,Lucas Hernández,0,7,16,0,88.64,
99,Juventus,,Danilo,0,1,9,1,89.86,
100,Benfica,,Odysseas Vlachodimos,0,0,1,0,64.17,
101,Young Boys,,Nicolas Moumie Ngamaleu,1,32,15,1,84.57,
102,Lille,,Jonathan Bamba,0,17,8,0,80.38,
103,FC Bayern München,,Benjamin Pavard,0,2,14,1,89.08,
104,Manchester City,,Phil Foden,3,6,6,2,81.18,
105,Real Madrid,,Luka Modrić,0,14,15,4,89.49,
106,FC Bayern München,,Serge Gnabry,3,11,7,0,82.89,
107,Zenit St. Petersburg,,Magomed Ozdoev,1,0,0,0,100,
108,Barcelona,,Gerard Piqué,1,0,7,0,91.16,
109,VfL Wolfsburg,,Maximilian Arnold,0,2,11,3,80.38,
110,AFC Ajax,,Noussair Mazraoui,0,10,28,2,87.07,
111,Shakhtar Donetsk,,Valeriy Bondar,0,1,0,0,94.34,
112,VfL Wolfsburg,,Pavao Pervan,0,0,0,0,55.56,
113,Milan,,Ciprian Tătărușanu,0,0,0,0,84.62,
114,Chelsea,,Ben Chilwell,0,0,7,0,85.9,
115,Juventus,,Juan Cuadrado,0,10,7,0,85.71,
116,Juventus,,Manuel Locatelli,0,3,13,0,85.87,
117,Atlético Madrid,,Rodrigo de Paul,1,4,19,0,77.9,
118,Paris Saint-Germain,,Marquinhos,0,0,10,1,92.63,
119,Villarreal,,Gerard Moreno,2,4,8,4,63.1,
120,Atalanta,,Duván Zapata,3,8,4,3,72.5,
121,Zenit St. Petersburg,,Wendel,1,3,12,0,89.69,
122,Chelsea,,Mateo Kovačić,0,12,13,1,93.71,
123,Sevilla,,Ivan Rakitić,2,1,3,1,81.05,
124,Borussia Dortmund,,Mats Hummels,0,3,14,0,88.89,
