#,Time,Time,Nome,Gols,Gols esperados (xG),Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
1,Manchester City,,Kevin De Bruyne,2,1.16,2,4,1,84.13,
2,Manchester City,,Julián Álvarez,5,1.74,6,3,2,90.8,
3,Manchester City,,Phil Foden,5,3.26,11,1,3,89.93,
4,RB Leipzig,,Willi Orbán,1,0.25,1,4,0,92.52,
5,Manchester City,,Rodri,1,0.81,10,14,2,91.88,
6,Atlético Madrid,,Antoine Griezmann,6,4.24,5,12,1,86.36,
7,Barcelona,,Raphinha,3,2.53,8,8,2,80.12,
8,Real Madrid,,Jude Bellingham,4,3.02,19,20,5,90.14,
9,Arsenal,,Bukayo Saka,4,1.57,10,16,4,85.65,
10,Newcastle United,,Nick Pope,0,,0,0,0,63,
11,Paris Saint-Germain,,Kylian Mbappé,8,8.16,36,2,0,84.66,
12,Real Madrid,,Vinícius Júnior,6,4.49,37,8,4,79.56,
13,RB Leipzig,,Xavi Simons,2,1.25,15,5,2,81.88,
14,FC Bayern München,,Harry Kane,8,5.9,4,9,4,69.59,
15,Barcelona,,João Cancelo,2,0.63,29,32,1,87.8,
16,Borussia Dortmund,,Alexander Meyer,0,,0,0,0,84.44,
17,FC Porto,,Wenderson Galeno,5,2.87,9,7,3,70.27,
18,Manchester City,,Jérémy Doku,1,1.28,29,6,1,89.88,
19,Real Madrid,,Andriy Lunin,0,,0,0,0,73.52,
20,Real Sociedad,,Mikel Merino,2,1.94,10,15,1,79.44,
21,RB Leipzig,,David Raum,1,0.21,0,17,3,84.49,
22,Atlético Madrid,,Samuel Lino,3,2.04,9,12,3,90.38,
23,Inter,,Yann Sommer,0,,0,0,0,82.64,
24,Borussia Dortmund,,Gregor Kobel,0,,1,0,0,79.95,
25,Red Bull Salzburg,,Alexander Schlager,0,,0,0,0,75,
26,FC Porto,,Mehdi Taremi,2,2.6,3,17,2,73.24,
27,Borussia Dortmund,,Ramy Bensebaini,0,0.09,2,21,0,76.8,
28,Feyenoord,,Calvin Stengs,1,0.4,12,8,1,78.73,
29,Real Madrid,,Thibaut Courtois,0,,0,0,0,77.78,
30,FC Bayern München,,Joshua Kimmich,1,0.73,4,23,2,90.88,
31,Paris Saint-Germain,,Vitinha,2,1.31,11,15,1,93.85,
32,Manchester United,,Bruno Fernandes,2,1.56,7,13,2,75.1,
33,FK Crvena zvezda,,In-Beom Hwang,1,0.91,3,19,1,80.67,
34,Manchester City,,Matheus Nunes,0,1.69,9,4,1,92.88,
35,Real Madrid,,Toni Kroos,0,0.32,2,21,2,95.24,
36,Napoli,,Natan,0,0.25,2,10,1,87.31,
37,Manchester City,,Jack Grealish,0,1.15,6,3,2,89.01,
38,Barcelona,,İlkay Gündoğan,0,0.94,10,5,4,90.68,
39,FC Porto,,Evanilson,4,1.75,5,6,1,80.19,
40,Real Sociedad,,Brais Méndez,3,1.66,8,13,1,82.14,
41,Manchester United,,Casemiro,2,0.21,1,6,0,78.95,
42,Benfica,,Ángel Di María,1,0.34,8,3,1,83.44,
43,Real Madrid,,Dani Ceballos,1,0.19,3,3,0,91.3,
44,Young Boys,,Anthony Racioppi,0,,0,0,0,66.3,
45,Shakhtar Donetsk,,Dmytro Riznyk,0,,1,1,0,75.69,
46,PSV Eindhoven,,Noa Lang,0,0.46,13,2,0,78.18,
47,Manchester City,,Joško Gvardiol,1,0.13,6,7,1,94.17,
48,Inter,,Hakan Çalhanoğlu,1,1.14,1,10,0,88.26,
49,Sevilla,,Ivan Rakitić,0,0.1,1,11,3,80.77,
50,Benfica,,João Neves,0,0.39,13,24,0,81.61,
51,PSV Eindhoven,,Johan Bakayoko,1,1.24,20,10,1,80.84,
52,Borussia Dortmund,,Mats Hummels,1,0.93,7,53,1,86.72,
53,Sevilla,,Ørjan Nyland,0,,0,0,0,73.97,
54,Paris Saint-Germain,,Ousmane Dembélé,2,2.96,23,15,1,78.78,
55,Sporting Braga,,Bruma,2,0.71,11,8,1,85.47,
56,Inter,,Nicolò Barella,0,0.86,1,16,1,83.8,
57,Arsenal,,Martin Ødegaard,2,1.33,12,11,1,89.15,
58,PSV Eindhoven,,Joey Veerman,0,0.37,6,13,0,80.34,
59,FC Bayern München,,Jamal Musiala,2,1.97,32,12,1,88.1,
60,Arsenal,,Gabriel Jesus,4,2.16,11,8,3,82.03,
61,RB Leipzig,,Dani Olmo,1,0.89,3,4,0,80,
62,Galatasaray,,Cédric Bakambu,1,0.53,0,0,0,63.64,
63,Sporting Braga,,André Castro,1,0.03,0,0,0,87.5,
64,Feyenoord,,Igor Paixão,0,1.41,10,4,0,78.23,
65,Napoli,,Alex Meret,0,,0,0,0,87.17,
66,RB Leipzig,,Benjamin Henrichs,0,0.22,4,22,2,76.95,
67,Milan,,Mike Maignan,0,,0,0,0,77.12,
68,Paris Saint-Germain,,Achraf Hakimi,1,0.95,8,20,1,86.5,
69,Real Sociedad,,Takefusa Kubo,0,0.35,17,4,1,78.84,
70,Borussia Dortmund,,Julian Brandt,2,1.4,11,17,2,81.41,
71,Atlético Madrid,,Arthur Vermeeren,1,0.53,6,19,2,88,
72,Sporting Braga,,Ricardo Horta,0,1.19,4,7,2,86.54,
73,Barcelona,,Lamine Yamal,0,1.72,23,9,2,79.84,
74,Sevilla,,Sergio Ramos,2,1.8,1,2,1,84.81,
75,Milan,,Rafael Leão,1,1.1,18,7,0,70.18,
76,Atlético Madrid,,Jan Oblak,0,,0,0,0,67.24,
77,FC København,,Mohamed Elyounoussi,3,2.1,10,20,0,73.99,
78,Barcelona,,Robert Lewandowski,3,2.96,2,7,1,72.02,
79,Shakhtar Donetsk,,Oleksandr Zubkov,0,0.4,9,11,2,77.13,
80,Milan,,Alessandro Florenzi,0,0.04,2,7,0,82.14,
81,Real Madrid,,Joselu,5,5.44,0,1,0,76.25,
82,FC Porto,,Pepe,2,0.15,1,10,0,86.39,
83,FC Porto,,Stephen Eustaquio,1,0.54,1,14,0,86.64,
84,Napoli,,Giovanni Di Lorenzo,1,0.39,6,20,1,83.8,
