Temporada,URL
23/24,https://www.sofascore.com/pt/torneio/futebol/europe/uefa-champions-league/7#id:52162
22/23,https://www.sofascore.com/pt/torneio/futebol/europe/uefa-champions-league/7#id:41897
21/22,https://www.sofascore.com/pt/torneio/futebol/europe/uefa-champions-league/7#id:36886
20/21,https://www.sofascore.com/pt/torneio/futebol/europe/uefa-champions-league/7#id:29267
19/20,https://www.sofascore.com/pt/torneio/futebol/europe/uefa-champions-league/7#id:23766
18/19,https://www.sofascore.com/pt/torneio/futebol/europe/uefa-champions-league/7#id:17351
17/18,https://www.sofascore.com/pt/torneio/futebol/europe/uefa-champions-league/7#id:13415
16/17,https://www.sofascore.com/pt/torneio/futebol/europe/uefa-champions-league/7#id:11773
15/16,https://www.sofascore.com/pt/torneio/futebol/europe/uefa-champions-league/7#id:10390
14/15,https://www.sofascore.com/pt/torneio/futebol/europe/uefa-champions-league/7#id:8226
