#,Time,Nome,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol,Nota Sofascore,Temporada
1,Paris Saint-Germain,Keylor Navas,54.0,2.0,1.0,36.0,4.0,7.37,20-21
2,FC Bayern München,Manuel Neuer,35.0,3.0,0.0,26.0,6.0,7.44,20-21
3,Chelsea,Edouard Mendy,31.0,9.0,0.0,23.0,2.0,7.35,20-21
4,FC Porto,Agustín Marchesín,29.0,5.0,0.0,21.0,5.0,7.26,20-21
5,Real Madrid,Thibaut Courtois,26.0,4.0,0.0,18.0,5.0,6.81,20-21
6,Lokomotiv Moscow,Guilherme Marinato,25.0,1.0,0.0,13.0,2.0,7.03,20-21
7,Shakhtar Donetsk,Anatoliy Trubin,24.0,3.0,0.0,15.0,0.0,7.14,20-21
8,Olympiacos FC,José Sá,24.0,1.0,0.0,13.0,0.0,6.9,20-21
9,RB Leipzig,Péter Gulácsi,23.0,1.0,1.0,15.0,5.0,6.76,20-21
10,FK Krasnodar,Matvey Safonov,22.0,1.0,0.0,15.0,0.0,7.35,20-21
11,AFC Ajax,André Onana,22.0,0.0,0.0,11.0,0.0,6.85,20-21
12,Borussia M'gladbach,Yann Sommer,22.0,2.0,0.0,16.0,1.0,6.81,20-21
13,FC Midtjylland,Jesper Hansen,21.0,0.0,0.0,17.0,1.0,6.98,20-21
14,Atalanta,Marco Sportiello,21.0,1.0,0.0,11.0,1.0,6.48,20-21
15,Juventus,Wojciech Szczęsny,20.0,2.0,0.0,10.0,5.0,6.9,20-21
16,Borussia Dortmund,Marwin Hitz,20.0,0.0,0.0,11.0,1.0,6.62,20-21
17,Ferencváros TC,Dénes Dibusz,20.0,0.0,0.0,8.0,1.0,6.3,20-21
18,Liverpool,Alisson,19.0,5.0,0.0,12.0,2.0,7.29,20-21
19,Başakşehir FK,Mert Günok,19.0,0.0,0.0,10.0,3.0,6.18,20-21
20,Manchester City,Ederson,17.0,7.0,0.0,10.0,6.0,6.91,20-21
21,Lazio,Pepe Reina,17.0,0.0,0.0,10.0,1.0,6.44,20-21
22,Sevilla,Bono,16.0,2.0,0.0,8.0,0.0,7.0,20-21
23,Barcelona,Marc-André ter Stegen,16.0,1.0,0.0,14.0,1.0,6.88,20-21
24,Club Brugge KV,Simon Mignolet,16.0,1.0,0.0,12.0,4.0,6.78,20-21
25,Red Bull Salzburg,Cican Stanković,16.0,0.0,0.0,7.0,1.0,6.18,20-21
26,Stade Rennais,Alfred Gomis,15.0,0.0,0.0,9.0,1.0,6.85,20-21
27,Inter,Samir Handanović,15.0,2.0,0.0,9.0,4.0,6.77,20-21
28,Zenit St. Petersburg,Mikhail Kerzhakov,15.0,0.0,0.0,12.0,0.0,6.58,20-21
29,Manchester United,David De Gea,14.0,1.0,0.0,10.0,1.0,6.78,20-21
30,Atlético Madrid,Jan Oblak,14.0,2.0,0.0,9.0,0.0,6.61,20-21
31,Dynamo Kyiv,Heorhiy Bushchan,13.0,1.0,0.0,12.0,0.0,6.48,20-21
32,Olympique de Marseille,Steve Mandanda,13.0,0.0,0.0,9.0,2.0,6.38,20-21
33,Dynamo Kyiv,Ruslan Neshcheret,12.0,0.0,0.0,8.0,0.0,9.7,20-21
34,FK Krasnodar,Evgeniy Gorodov,10.0,0.0,0.0,6.0,0.0,7.05,20-21
35,Liverpool,Caoimhin Kelleher,9.0,1.0,0.0,8.0,0.0,7.65,20-21
36,Borussia Dortmund,Roman Bürki,9.0,3.0,0.0,4.0,0.0,7.23,20-21
37,Juventus,Gianluigi Buffon,7.0,1.0,0.0,2.0,0.0,8.5,20-21
38,Lazio,Thomas Strakosha,6.0,0.0,0.0,5.0,0.0,7.6,20-21
39,Atalanta,Pierluigi Gollini,5.0,2.0,0.0,4.0,1.0,7.03,20-21
40,Liverpool,Adrián,4.0,1.0,0.0,3.0,1.0,7.8,20-21
41,Stade Rennais,Romain Salin,4.0,0.0,0.0,3.0,1.0,6.4,20-21
42,Barcelona,Neto,3.0,2.0,0.0,2.0,0.0,6.9,20-21
43,Club Brugge KV,Ethan Horvath,3.0,0.0,0.0,2.0,0.0,6.8,20-21
44,FC Bayern München,Alexander Nübel,3.0,0.0,0.0,2.0,1.0,6.55,20-21
45,Sevilla,Tomáš Vaclík,3.0,0.0,0.0,3.0,0.0,6.3,20-21
46,Manchester City,Zack Steffen,2.0,1.0,0.0,1.0,0.0,7.2,20-21
47,Dynamo Kyiv,Denys Boyko,2.0,0.0,0.0,1.0,0.0,6.4,20-21
48,FC Midtjylland,Mikkel Andersen,2.0,0.0,0.0,0.0,1.0,6.15,20-21
49,Sevilla,Alfonso Pastor,2.0,0.0,0.0,2.0,0.0,5.7,20-21
50,Shakhtar Donetsk,Andriy Pyatov,2.0,0.0,0.0,2.0,0.0,5.6,20-21
51,FC Porto,Diogo Costa,1.0,1.0,0.0,0.0,0.0,7.0,20-21
52,Chelsea,Kepa Arrizabalaga,1.0,0.0,0.0,1.0,0.0,6.6,20-21
53,Manchester United,Dean Henderson,1.0,0.0,0.0,1.0,0.0,6.1,20-21
1,Atlético Madrid,Jan Oblak,43.0,8.0,1.0,21.0,2.0,7.16,15-16
2,FC Bayern München,Manuel Neuer,37.0,4.0,1.0,28.0,15.0,7.0,15-16
3,Galatasaray,Fernando Muslera,36.0,0.0,0.0,14.0,9.0,7.2,15-16
4,Sevilla,Sergio Rico,35.0,2.0,0.0,18.0,2.0,7.32,15-16
5,Manchester City,Joe Hart,34.0,3.0,2.0,28.0,4.0,6.99,15-16
6,PSV Eindhoven,Jeroen Zoet,33.0,4.0,0.0,18.0,5.0,7.21,15-16
7,Malmö FF,Johan Sellberg-Wiland,33.0,1.0,0.0,21.0,12.0,6.87,15-16
8,BATE Borisov,Sergey Chernik,32.0,1.0,0.0,20.0,5.0,7.13,15-16
9,Paris Saint-Germain,Kevin Trapp,31.0,5.0,0.0,20.0,5.0,7.03,15-16
10,Roma,Wojciech Szczęsny,31.0,1.0,1.0,19.0,5.0,6.74,15-16
11,Barcelona,Marc-André ter Stegen,29.0,3.0,1.0,16.0,12.0,7.07,15-16
12,GNK Dinamo Zagreb,Eduardo,29.0,0.0,1.0,18.0,3.0,6.77,15-16
13,Zenit St. Petersburg,Yury Lodygin,28.0,2.0,0.0,16.0,3.0,7.13,15-16
14,Real Madrid,Keylor Navas,26.0,9.0,0.0,14.0,8.0,7.18,15-16
15,VfL Wolfsburg,Diego Benaglio,26.0,4.0,1.0,17.0,3.0,7.05,15-16
16,KAA Gent,Matz Sels,25.0,1.0,1.0,17.0,6.0,6.99,15-16
17,Maccabi Tel Aviv,Predrag Rajković,25.0,0.0,0.0,13.0,2.0,6.35,15-16
18,Juventus,Gianluigi Buffon,24.0,3.0,0.0,15.0,2.0,6.91,15-16
19,Arsenal,Petr Čech,23.0,3.0,0.0,12.0,5.0,7.32,15-16
20,Valencia,Jaume Doménech,22.0,1.0,0.0,14.0,5.0,6.85,15-16
21,Benfica,Júlio César,21.0,2.0,0.0,11.0,10.0,7.01,15-16
22,CSKA Moscow,Igor Akinfeev,21.0,0.0,0.0,17.0,3.0,6.8,15-16
23,Borussia M'gladbach,Yann Sommer,21.0,1.0,0.0,17.0,3.0,6.6,15-16
24,Olympiacos FC,Roberto Jiménez,21.0,1.0,0.0,14.0,2.0,6.5,15-16
25,Olympique Lyonnais,Anthony Lopes,19.0,1.0,0.0,7.0,1.0,6.82,15-16
26,Dynamo Kyiv,Oleksandr Shovkovskyi,18.0,5.0,0.0,10.0,14.0,7.07,15-16
27,FC Porto,Iker Casillas,18.0,1.0,0.0,12.0,7.0,6.7,15-16
28,Bayer 04 Leverkusen,Bernd Leno,17.0,0.0,0.0,8.0,6.0,6.43,15-16
29,Manchester United,David De Gea,16.0,2.0,1.0,8.0,4.0,6.9,15-16
30,Shakhtar Donetsk,Andriy Pyatov,16.0,0.0,1.0,10.0,2.0,6.55,15-16
31,Benfica,Ederson,13.0,0.0,0.0,10.0,2.0,7.03,15-16
32,Chelsea,Asmir Begović,12.0,3.0,0.0,6.0,3.0,6.94,15-16
33,Chelsea,Thibaut Courtois,11.0,1.0,0.0,5.0,1.0,6.97,15-16
34,Arsenal,David Ospina,10.0,0.0,0.0,7.0,4.0,6.37,15-16
35,Shakhtar Donetsk,Anton Kanibolotskiy,6.0,1.0,0.0,3.0,4.0,7.05,15-16
36,VfL Wolfsburg,Koen Casteels,6.0,1.0,0.0,1.0,1.0,6.8,15-16
37,FC Bayern München,Sven Ulreich,4.0,1.0,0.0,3.0,0.0,7.3,15-16
38,Real Madrid,Kiko Casilla,2.0,1.0,0.0,1.0,0.0,6.65,15-16
39,Zenit St. Petersburg,Mikhail Kerzhakov,2.0,0.0,0.0,2.0,1.0,6.45,15-16
40,Dynamo Kyiv,Oleksandr Rybka,1.0,0.0,0.0,0.0,1.0,5.6,15-16
41,Roma,Morgan De Sanctis,0.0,0.0,0.0,0.0,0.0,6.8,15-16
42,Manchester City,Willy Caballero,0.0,0.0,0.0,0.0,0.0,6.5,15-16
1,Inter,André Onana,47.0,8.0,0.0,27.0,1.0,7.41,22-23
2,Real Madrid,Thibaut Courtois,42.0,5.0,1.0,27.0,1.0,7.34,22-23
3,Club Brugge KV,Simon Mignolet,34.0,5.0,0.0,24.0,2.0,7.41,22-23
4,FC Porto,Diogo Costa,31.0,4.0,3.0,19.0,4.0,7.53,22-23
5,Shakhtar Donetsk,Anatoliy Trubin,30.0,0.0,0.0,21.0,1.0,7.27,22-23
6,Eintracht Frankfurt,Kevin Trapp,29.0,2.0,1.0,20.0,3.0,7.13,22-23
7,Manchester City,Ederson,28.0,7.0,0.0,14.0,7.0,7.29,22-23
8,Chelsea,Kepa Arrizabalaga,28.0,3.0,0.0,15.0,5.0,7.1,22-23
9,Paris Saint-Germain,Gianluigi Donnarumma,26.0,0.0,0.0,14.0,2.0,6.88,22-23
10,GNK Dinamo Zagreb,Dominik Livaković,25.0,1.0,0.0,16.0,1.0,6.98,22-23
11,FC København,Kamil Grabara,24.0,1.0,1.0,11.0,1.0,7.43,22-23
12,Rangers,Allan McGregor,24.0,0.0,1.0,19.0,2.0,6.74,22-23
13,Viktoria Plzeň,Jindřich Staněk,23.0,0.0,0.0,15.0,3.0,6.44,22-23
14,Milan,Mike Maignan,22.0,2.0,1.0,15.0,2.0,7.21,22-23
15,Napoli,Alex Meret,22.0,4.0,1.0,15.0,3.0,7.12,22-23
16,Maccabi Haifa,Josh Cohen,22.0,1.0,0.0,14.0,4.0,6.4,22-23
17,Red Bull Salzburg,Philipp Köhn,21.0,1.0,0.0,16.0,5.0,6.95,22-23
18,AFC Ajax,Remko Pasveer,21.0,1.0,0.0,13.0,1.0,6.47,22-23
19,Milan,Ciprian Tătărușanu,20.0,3.0,0.0,14.0,4.0,7.48,22-23
20,RB Leipzig,Janis Blaswich,20.0,2.0,0.0,18.0,2.0,7.0,22-23
21,Benfica,Odysseas Vlachodimos,19.0,2.0,0.0,12.0,5.0,6.67,22-23
22,Borussia Dortmund,Gregor Kobel,17.0,2.0,1.0,14.0,1.0,7.83,22-23
23,Tottenham Hotspur,Hugo Lloris,17.0,2.0,0.0,9.0,5.0,7.1,22-23
24,Bayer 04 Leverkusen,Lukáš Hrádecký,17.0,2.0,1.0,7.0,0.0,6.83,22-23
25,Sporting,Antonio Adán,17.0,2.0,0.0,14.0,2.0,6.52,22-23
26,Liverpool,Alisson,16.0,3.0,1.0,12.0,2.0,6.66,22-23
27,Celtic,Joe Hart,16.0,0.0,0.0,12.0,1.0,6.23,22-23
