#,Clube,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore,Categoria,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol
1,Manchester City,Erling Haaland,12.0,10.66,10.0,12.0,41.0,29.27,7.41,7.41,Ataque,,,,,,,,,,,,,,
2,Liverpool,Mohamed Salah,8.0,4.0,2.0,9.0,23.0,34.78,7.7,7.7,Ataque,,,,,,,,,,,,,,
3,Paris Saint-Germain,Kylian Mbappé,7.0,3.61,4.0,17.0,26.0,26.92,7.53,7.53,Ataque,,,,,,,,,,,,,,
4,Real Madrid,Vinícius Júnior,7.0,6.52,13.0,47.0,38.0,18.42,7.11,7.11,Ataque,,,,,,,,,,,,,,
5,Benfica,João Mário,6.0,4.65,1.0,14.0,12.0,50.0,7.23,7.23,Ataque,,,,,,,,,,,,,,
6,Barcelona,Robert Lewandowski,5.0,3.15,2.0,3.0,24.0,20.83,7.98,7.98,Ataque,,,,,,,,,,,,,,
7,FC Porto,Mehdi Taremi,5.0,5.98,3.0,3.0,24.0,20.83,7.66,7.66,Ataque,,,,,,,,,,,,,,
8,Napoli,Victor Osimhen,5.0,4.93,4.0,5.0,16.0,31.25,7.35,7.35,Ataque,,,,,,,,,,,,,,
9,Real Madrid,Rodrygo,5.0,4.69,0.0,14.0,25.0,20.0,7.26,7.26,Ataque,,,,,,,,,,,,,,
10,Benfica,Rafa Silva,5.0,4.28,7.0,21.0,28.0,17.86,7.01,7.01,Ataque,,,,,,,,,,,,,,
11,Milan,Olivier Giroud,5.0,5.72,6.0,0.0,26.0,19.23,6.99,6.99,Ataque,,,,,,,,,,,,,,
12,Paris Saint-Germain,Lionel Messi,4.0,2.64,1.0,14.0,23.0,17.39,7.93,7.93,Ataque,,,,,,,,,,,,,,
13,FC Bayern München,Leroy Sané,4.0,2.52,1.0,10.0,18.0,22.22,7.45,7.45,Ataque,,,,,,,,,,,,,,
14,Napoli,Giacomo Raspadori,4.0,0.97,0.0,0.0,10.0,40.0,7.4,7.4,Ataque,,,,,,,,,,,,,,
15,Napoli,Piotr Zieliński,4.0,4.02,3.0,8.0,17.0,23.53,7.4,7.4,Ataque,,,,,,,,,,,,,,
16,Borussia Dortmund,Jude Bellingham,4.0,1.34,1.0,11.0,11.0,36.36,7.23,7.23,Ataque,,,,,,,,,,,,,,
17,FC Bayern München,Eric Maxim Choupo-Moting,4.0,2.58,0.0,5.0,15.0,26.67,7.23,7.23,Ataque,,,,,,,,,,,,,,
18,AFC Ajax,Mohammed Kudus,4.0,1.77,1.0,11.0,8.0,50.0,7.22,7.22,Ataque,,,,,,,,,,,,,,
19,Real Madrid,Karim Benzema,4.0,5.13,4.0,7.0,35.0,11.43,7.16,7.16,Ataque,,,,,,,,,,,,,,
20,Napoli,Giovanni Simeone,4.0,2.88,3.0,1.0,15.0,26.67,7.07,7.07,Ataque,,,,,,,,,,,,,,
21,Inter,Edin Džeko,4.0,3.22,5.0,11.0,23.0,17.39,7.05,7.05,Ataque,,,,,,,,,,,,,,
22,Liverpool,Darwin Núñez,4.0,5.0,3.0,3.0,22.0,18.18,6.93,6.93,Ataque,,,,,,,,,,,,,,
23,Manchester City,Riyad Mahrez,3.0,3.48,2.0,12.0,12.0,25.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
24,Barcelona,Ferran Torres,3.0,1.26,0.0,4.0,7.0,42.86,7.18,7.18,Ataque,,,,,,,,,,,,,,
25,Manchester City,Bernardo Silva,3.0,1.11,2.0,26.0,8.0,37.5,7.17,7.17,Ataque,,,,,,,,,,,,,,
26,FC Bayern München,Sadio Mané,3.0,1.92,4.0,12.0,15.0,20.0,7.17,7.17,Ataque,,,,,,,,,,,,,,
27,Manchester City,Julián Álvarez,3.0,2.37,0.0,3.0,14.0,21.43,7.07,7.07,Ataque,,,,,,,,,,,,,,
28,RB Leipzig,André Silva,3.0,2.14,2.0,6.0,15.0,20.0,7.06,7.06,Ataque,,,,,,,,,,,,,,
29,RB Leipzig,Christopher Nkunku,3.0,1.62,3.0,8.0,15.0,20.0,7.04,7.04,Ataque,,,,,,,,,,,,,,
30,Eintracht Frankfurt,Daichi Kamada,3.0,3.01,1.0,6.0,13.0,23.08,7.03,7.03,Ataque,,,,,,,,,,,,,,
31,Benfica,Gonçalo Ramos,3.0,3.86,5.0,5.0,24.0,12.5,7.01,7.01,Ataque,,,,,,,,,,,,,,
32,Inter,Lautaro Martínez,3.0,2.91,4.0,10.0,27.0,11.11,7.0,7.0,Ataque,,,,,,,,,,,,,,
33,Inter,Nicolò Barella,3.0,1.37,0.0,8.0,20.0,15.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
34,Inter,Romelu Lukaku,3.0,2.7,3.0,5.0,12.0,25.0,6.96,6.96,Ataque,,,,,,,,,,,,,,
35,Real Madrid,Marco Asensio,3.0,0.94,0.0,1.0,12.0,25.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
36,Benfica,David Neres,3.0,1.89,1.0,11.0,11.0,27.27,6.87,6.87,Ataque,,,,,,,,,,,,,,
37,Red Bull Salzburg,Noah Okafor,3.0,1.73,0.0,7.0,11.0,27.27,6.78,6.78,Ataque,,,,,,,,,,,,,,
38,Chelsea,Raheem Sterling,3.0,1.22,1.0,4.0,8.0,37.5,6.71,6.71,Ataque,,,,,,,,,,,,,,
39,Chelsea,Mykhaylo Mudryk,3.0,1.2,1.0,13.0,12.0,25.0,6.68,6.68,Ataque,,,,,,,,,,,,,,
40,Manchester City,Kevin De Bruyne,2.0,1.26,1.0,10.0,16.0,12.5,7.61,7.61,Ataque,,,,,,,,,,,,,,
41,Paris Saint-Germain,Neymar,2.0,2.11,1.0,14.0,18.0,11.11,7.45,7.45,Ataque,,,,,,,,,,,,,,
42,Napoli,Giovanni Di Lorenzo,2.0,1.16,1.0,8.0,13.0,15.38,7.41,7.41,Ataque,,,,,,,,,,,,,,
43,Manchester City,Rodri,2.0,0.91,0.0,9.0,17.0,11.76,7.4,7.4,Ataque,,,,,,,,,,,,,,
44,Celtic,Jota,2.0,0.9,0.0,11.0,12.0,16.67,7.4,7.4,Ataque,,,,,,,,,,,,,,
45,Real Madrid,Federico Valverde,2.0,1.65,2.0,11.0,24.0,8.33,7.38,7.38,Ataque,,,,,,,,,,,,,,
46,Sporting,Arthur Gomes,2.0,0.27,0.0,2.0,2.0,100.0,7.37,7.37,Ataque,,,,,,,,,,,,,,
47,Benfica,Alejandro Grimaldo,2.0,1.18,2.0,10.0,15.0,13.33,7.33,7.33,Ataque,,,,,,,,,,,,,,
48,Juventus,Adrien Rabiot,2.0,0.59,0.0,4.0,4.0,50.0,7.28,7.28,Ataque,,,,,,,,,,,,,,
49,AFC Ajax,Steven Berghuis,2.0,1.06,2.0,1.0,13.0,15.38,7.27,7.27,Ataque,,,,,,,,,,,,,,
50,Shakhtar Donetsk,Marian Shved,2.0,0.44,0.0,3.0,7.0,28.57,7.2,7.2,Ataque,,,,,,,,,,,,,,
51,FC Bayern München,Leon Goretzka,2.0,1.85,1.0,1.0,16.0,12.5,7.18,7.18,Ataque,,,,,,,,,,,,,,
52,Borussia Dortmund,Raphaël Guerreiro,2.0,0.71,0.0,3.0,6.0,33.33,7.17,7.17,Ataque,,,,,,,,,,,,,,
53,Olympique de Marseille,Alexis Sánchez,2.0,2.83,1.0,1.0,16.0,12.5,7.14,7.14,Ataque,,,,,,,,,,,,,,
54,FC Bayern München,Benjamin Pavard,2.0,1.06,1.0,1.0,6.0,33.33,7.13,7.13,Ataque,,,,,,,,,,,,,,
55,Tottenham Hotspur,Heung-min Son,2.0,1.55,1.0,7.0,15.0,13.33,7.13,7.13,Ataque,,,,,,,,,,,,,,
56,FC Porto,Stephen Eustaquio,2.0,1.39,2.0,3.0,12.0,16.67,7.1,7.1,Ataque,,,,,,,,,,,,,,
57,FC Porto,Wenderson Galeno,2.0,2.77,4.0,10.0,15.0,13.33,7.09,7.09,Ataque,,,,,,,,,,,,,,
58,Real Madrid,Luka Modrić,2.0,1.3,0.0,10.0,7.0,28.57,7.07,7.07,Ataque,,,,,,,,,,,,,,
59,Maccabi Haifa,Omer Atzili,2.0,0.69,0.0,3.0,14.0,14.29,7.05,7.05,Ataque,,,,,,,,,,,,,,
60,Napoli,Khvicha Kvaratskhelia,2.0,5.78,9.0,35.0,38.0,5.26,7.04,7.04,Ataque,,,,,,,,,,,,,,
61,Bayer 04 Leverkusen,Moussa Diaby,2.0,1.73,0.0,6.0,16.0,12.5,7.03,7.03,Ataque,,,,,,,,,,,,,,
62,Olympique de Marseille,Chancel Mbemba,2.0,0.44,0.0,1.0,4.0,50.0,7.02,7.02,Ataque,,,,,,,,,,,,,,
63,Chelsea,Kai Havertz,2.0,2.62,2.0,12.0,25.0,8.0,7.02,7.02,Ataque,,,,,,,,,,,,,,
64,Sporting,Marcus Edwards,2.0,0.72,1.0,10.0,7.0,28.57,7.02,7.02,Ataque,,,,,,,,,,,,,,
65,Maccabi Haifa,Tjaronn Chery,2.0,1.61,0.0,4.0,20.0,10.0,7.02,7.02,Ataque,,,,,,,,,,,,,,
66,Olympique de Marseille,Mattéo Guendouzi,2.0,1.23,0.0,0.0,8.0,25.0,7.02,7.02,Ataque,,,,,,,,,,,,,,
67,Benfica,António Silva,2.0,0.67,1.0,2.0,4.0,50.0,7.01,7.01,Ataque,,,,,,,,,,,,,,
68,Liverpool,Roberto Firmino,2.0,0.74,0.0,7.0,6.0,33.33,7.0,7.0,Ataque,,,,,,,,,,,,,,
69,Tottenham Hotspur,Richarlison,2.0,1.16,1.0,3.0,10.0,20.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
70,FC Bayern München,Serge Gnabry,2.0,1.25,0.0,4.0,10.0,20.0,6.99,6.99,Ataque,,,,,,,,,,,,,,
71,Club Brugge KV,Ferran Jutglà,2.0,1.78,1.0,8.0,11.0,18.18,6.99,6.99,Ataque,,,,,,,,,,,,,,
72,RB Leipzig,Joško Gvardiol,2.0,0.76,0.0,3.0,2.0,100.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
73,Benfica,Petar Musa,2.0,0.5,0.0,2.0,5.0,40.0,6.96,6.96,Ataque,,,,,,,,,,,,,,
74,Chelsea,Pierre-Emerick Aubameyang,2.0,2.29,2.0,0.0,15.0,13.33,6.95,6.95,Ataque,,,,,,,,,,,,,,
75,Inter,Henrikh Mkhitaryan,2.0,1.74,2.0,6.0,15.0,13.33,6.94,6.94,Ataque,,,,,,,,,,,,,,
76,Liverpool,Harvey Elliott,2.0,1.11,1.0,5.0,11.0,18.18,6.94,6.94,Ataque,,,,,,,,,,,,,,
77,GNK Dinamo Zagreb,Mislav Oršić,2.0,1.08,0.0,2.0,13.0,15.38,6.93,6.93,Ataque,,,,,,,,,,,,,,
78,Club Brugge KV,Kamal Sowah,2.0,2.06,0.0,7.0,13.0,15.38,6.91,6.91,Ataque,,,,,,,,,,,,,,
79,Sporting,Francisco Trincão,2.0,0.53,0.0,5.0,9.0,22.22,6.85,6.85,Ataque,,,,,,,,,,,,,,
80,Juventus,Arkadiusz Milik,2.0,0.43,2.0,1.0,8.0,25.0,6.84,6.84,Ataque,,,,,,,,,,,,,,
81,AFC Ajax,Steven Bergwijn,2.0,1.78,0.0,5.0,10.0,20.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
82,Sevilla,Youssef En-Nesyri,2.0,1.65,3.0,0.0,12.0,16.67,6.8,6.8,Ataque,,,,,,,,,,,,,,
83,RB Leipzig,Timo Werner,2.0,2.41,0.0,4.0,13.0,15.38,6.79,6.79,Ataque,,,,,,,,,,,,,,
84,Milan,Alexis Saelemaekers,2.0,0.5,0.0,13.0,6.0,33.33,6.79,6.79,Ataque,,,,,,,,,,,,,,
85,Viktoria Plzeň,Tomáš Chorý,2.0,2.04,2.0,0.0,11.0,18.18,6.77,6.77,Ataque,,,,,,,,,,,,,,
86,Shakhtar Donetsk,Oleksandr Zubkov,2.0,1.01,1.0,2.0,8.0,25.0,6.76,6.76,Ataque,,,,,,,,,,,,,,
87,Juventus,Weston McKennie,2.0,0.61,0.0,2.0,4.0,50.0,6.74,6.74,Ataque,,,,,,,,,,,,,,
88,Maccabi Haifa,Abdoulaye Seck,2.0,0.38,0.0,3.0,4.0,50.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
89,Borussia Dortmund,Karim Adeyemi,2.0,1.79,0.0,10.0,11.0,18.18,6.7,6.7,Ataque,,,,,,,,,,,,,,
90,Eintracht Frankfurt,Randal Kolo Muani,2.0,1.39,2.0,6.0,12.0,16.67,6.59,6.59,Ataque,,,,,,,,,,,,,,
91,Benfica,Henrique Araújo,1.0,0.23,0.0,0.0,1.0,100.0,7.8,7.8,Ataque,,,,,,,,,,,,,,
92,FC Bayern München,Joshua Kimmich,1.0,1.7,0.0,3.0,22.0,4.55,7.77,7.77,Ataque,,,,,,,,,,,,,,
93,FC Bayern München,Lucas Hernández,1.0,0.36,0.0,1.0,1.0,100.0,7.75,7.75,Ataque,,,,,,,,,,,,,,
94,Chelsea,Jorginho,1.0,0.88,0.0,4.0,3.0,33.33,7.47,7.47,Ataque,,,,,,,,,,,,,,
95,Manchester City,Rúben Dias,1.0,1.74,2.0,3.0,13.0,7.69,7.41,7.41,Ataque,,,,,,,,,,,,,,
96,Olympique de Marseille,Amine Harit,1.0,1.04,2.0,11.0,9.0,11.11,7.4,7.4,Ataque,,,,,,,,,,,,,,
97,Barcelona,Ousmane Dembélé,1.0,1.07,0.0,12.0,10.0,10.0,7.35,7.35,Ataque,,,,,,,,,,,,,,
98,Napoli,Leo Østigård,1.0,0.11,0.0,0.0,1.0,100.0,7.33,7.33,Ataque,,,,,,,,,,,,,,
99,FC Bayern München,Kingsley Coman,1.0,0.96,0.0,17.0,14.0,7.14,7.29,7.29,Ataque,,,,,,,,,,,,,,
100,Atlético Madrid,Antoine Griezmann,1.0,2.53,3.0,4.0,21.0,4.76,7.23,7.23,Ataque,,,,,,,,,,,,,,
101,Liverpool,Trent Alexander-Arnold,1.0,0.33,0.0,5.0,9.0,11.11,7.21,7.21,Ataque,,,,,,,,,,,,,,
102,Chelsea,Reece James,1.0,0.55,0.0,16.0,8.0,12.5,7.18,7.18,Ataque,,,,,,,,,,,,,,
103,Liverpool,Luis Díaz,1.0,0.49,0.0,4.0,9.0,11.11,7.17,7.17,Ataque,,,,,,,,,,,,,,
104,Barcelona,Marcos Alonso,1.0,1.01,0.0,2.0,3.0,33.33,7.16,7.16,Ataque,,,,,,,,,,,,,,
105,Napoli,Tanguy Ndombélé,1.0,0.88,0.0,11.0,8.0,12.5,7.16,7.16,Ataque,,,,,,,,,,,,,,
106,Napoli,Frank Anguissa,1.0,0.82,0.0,14.0,9.0,11.11,7.15,7.15,Ataque,,,,,,,,,,,,,,
107,Bayer 04 Leverkusen,Robert Andrich,1.0,0.34,0.0,0.0,5.0,20.0,7.14,7.14,Ataque,,,,,,,,,,,,,,
108,Manchester City,Phil Foden,1.0,0.97,1.0,7.0,9.0,11.11,7.14,7.14,Ataque,,,,,,,,,,,,,,
109,Red Bull Salzburg,Nicolas Seiwald,1.0,0.41,0.0,1.0,6.0,16.67,7.13,7.13,Ataque,,,,,,,,,,,,,,
110,RB Leipzig,Mohamed Simakan,1.0,0.37,0.0,6.0,2.0,50.0,7.13,7.13,Ataque,,,,,,,,,,,,,,
111,Tottenham Hotspur,Pierre-Emile Højbjerg,1.0,0.33,0.0,7.0,6.0,16.67,7.13,7.13,Ataque,,,,,,,,,,,,,,
112,Manchester City,Manuel Akanji,1.0,0.94,1.0,1.0,7.0,14.29,7.13,7.13,Ataque,,,,,,,,,,,,,,
113,Inter,Hakan Çalhanoğlu,1.0,0.44,0.0,4.0,13.0,7.69,7.1,7.1,Ataque,,,,,,,,,,,,,,
114,Liverpool,Joël Matip,1.0,0.4,0.0,1.0,5.0,20.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
115,Viktoria Plzeň,Jan Kliment,1.0,0.11,0.0,0.0,1.0,100.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
116,Manchester City,İlkay Gündoğan,1.0,1.61,3.0,11.0,19.0,5.26,7.08,7.08,Ataque,,,,,,,,,,,,,,
117,Borussia Dortmund,Julian Brandt,1.0,0.85,0.0,10.0,12.0,8.33,7.07,7.07,Ataque,,,,,,,,,,,,,,
118,Tottenham Hotspur,Rodrigo Bentancur,1.0,0.39,0.0,6.0,5.0,20.0,7.07,7.07,Ataque,,,,,,,,,,,,,,
119,Tottenham Hotspur,Clément Lenglet,1.0,0.18,0.0,1.0,1.0,100.0,7.06,7.06,Ataque,,,,,,,,,,,,,,
120,Manchester City,John Stones,1.0,0.1,0.0,10.0,3.0,33.33,7.05,7.05,Ataque,,,,,,,,,,,,,,
121,Manchester City,Rico Lewis,1.0,0.28,0.0,2.0,2.0,50.0,7.05,7.05,Ataque,,,,,,,,,,,,,,
122,Club Brugge KV,Andreas Skov Olsen,1.0,0.13,0.0,3.0,3.0,33.33,7.04,7.04,Ataque,,,,,,,,,,,,,,
123,Atlético Madrid,Rodrigo de Paul,1.0,0.22,0.0,3.0,5.0,20.0,7.04,7.04,Ataque,,,,,,,,,,,,,,
